frame    mol0
    0      NA
    1   0.648
    2   0.491
    3   0.469
    4   0.596
    5   0.462
    6   0.611
    7   0.587
    8   0.583
    9   0.690
   10   0.715
   11   0.673
   12   0.462
   13   0.533
   14   0.659
   15   0.574
   16   0.625
   17   0.601
   18   0.635
   19   0.574
   20   0.539
   21   0.663
   22   0.715
   23   0.656
   24   0.785
   25   0.661
   26   0.802
   27   0.754
   28   0.571
   29   0.451
   30   0.366
   31   0.491
   32   0.463
   33   0.468
   34   0.725
   35   0.607
   36   0.503
   37   0.613
   38   0.618
   39   0.580
   40   0.569
   41   0.575
   42   0.546
   43   0.458
   44   0.519
   45   0.568
   46   0.502
   47   0.488
   48   0.441
   49   0.530

